text,label
Life is good and I'm grateful. I guess.,positive
I'm frustrated and tired of everything.,negative
I'm laughing and smiling a lot today. right now.,positive
I'm just going through the day. to be honest.,neutral
I'm laughing and smiling a lot today. I think.,positive
This is one of the worst days recently. honestly.,negative
Nothing is going right and it's draining. to be honest.,negative
Life is good and I'm grateful. at the moment.,positive
It was an average day for me. at the moment.,neutral
I'm really happy with how things are going. I think.,positive
I feel ignored and unimportant. I think.,negative
I don't feel strongly about anything right now. honestly.,neutral
This is one of the worst days recently.,negative
Life is good and I'm grateful. to be honest.,positive
I feel supported and appreciated. I think.,positive
I'm frustrated and tired of everything. lately.,negative
"Today was okay, nothing special. lately.",neutral
Things are improving for me. these days.,positive
I feel kind of neutral. I think.,neutral
I'm just going through the day. lately.,neutral
It was an average day for me. right now.,neutral
Everything feels heavy and stressful. today.,negative
I don't feel strongly about anything right now. lately.,neutral
Nothing is going right and it's draining. I think.,negative
Life feels really difficult right now. at the moment.,negative
I'm just going through the day. these days.,neutral
I feel lonely and hopeless. to be honest.,negative
I feel supported and appreciated. these days.,positive
I feel terrible today. today.,negative
I'm laughing and smiling a lot today. to be honest.,positive
This is one of the worst days recently. at the moment.,negative
"I'm feeling normal, not too good, not too bad. these days.",neutral
I feel lonely and hopeless. to be honest.,negative
Life feels really difficult right now. I guess.,negative
I feel ignored and unimportant. lately.,negative
Things are stable and unchanged. these days.,neutral
I feel ignored and unimportant. these days.,negative
I feel lonely and hopeless. these days.,negative
I feel confident and motivated. these days.,positive
Nothing much happened today. to be honest.,neutral
Life feels really difficult right now. I think.,negative
Nothing is going right and it's draining. I think.,negative
It's just a regular day. honestly.,neutral
Everything feels heavy and stressful. at the moment.,negative
Life is good and I'm grateful. these days.,positive
I feel ignored and unimportant. lately.,negative
"I'm feeling normal, not too good, not too bad. I guess.",neutral
Life feels really difficult right now. these days.,negative
I feel fantastic today! right now.,positive
Life feels really difficult right now. lately.,negative
Life feels really difficult right now. lately.,negative
I don't feel strongly about anything right now. to be honest.,neutral
Nothing is going right and it's draining.,negative
Things are improving for me. lately.,positive
"I'm feeling normal, not too good, not too bad. lately.",neutral
I'm excited and full of energy. these days.,positive
I feel ignored and unimportant. I guess.,negative
Nothing major on my mind right now. at the moment.,neutral
Everything feels heavy and stressful. lately.,negative
This is one of the worst days recently. I think.,negative
I feel terrible today. today.,negative
I feel terrible today. honestly.,negative
I feel lonely and hopeless. right now.,negative
"I'm feeling normal, not too good, not too bad. to be honest.",neutral
Everything feels heavy and stressful. I guess.,negative
I'm laughing and smiling a lot today.,positive
I'm laughing and smiling a lot today. lately.,positive
I feel fantastic today! these days.,positive
I feel kind of neutral. lately.,neutral
I don't feel strongly about anything right now. lately.,neutral
I feel kind of neutral. honestly.,neutral
It was an average day for me. right now.,neutral
I feel fantastic today! to be honest.,positive
Nothing major on my mind right now. I guess.,neutral
This is the best day I've had in a long time. I guess.,positive
I'm just going through the day. honestly.,neutral
This is one of the worst days recently. at the moment.,negative
Things are improving for me. today.,positive
I'm excited and full of energy. I think.,positive
I'm really happy with how things are going. these days.,positive
Things are stable and unchanged. right now.,neutral
"Today was okay, nothing special. I guess.",neutral
I feel kind of neutral. at the moment.,neutral
"Today was okay, nothing special. right now.",neutral
I feel lonely and hopeless. today.,negative
I feel confident and motivated. right now.,positive
Everything feels heavy and stressful. today.,negative
Nothing is going right and it's draining. I guess.,negative
I feel supported and appreciated. these days.,positive
Everything is working out perfectly. right now.,positive
I feel terrible today. today.,negative
"Today was okay, nothing special.",neutral
"Today was okay, nothing special. I guess.",neutral
I'm laughing and smiling a lot today. right now.,positive
It's just a regular day. lately.,neutral
Life is good and I'm grateful. right now.,positive
"I'm feeling normal, not too good, not too bad. at the moment.",neutral
I feel confident and motivated. lately.,positive
This is one of the worst days recently. I guess.,negative
I feel kind of neutral. I think.,neutral
I'm frustrated and tired of everything. to be honest.,negative
"Today was okay, nothing special. lately.",neutral
"I'm feeling normal, not too good, not too bad. honestly.",neutral
Things are improving for me.,positive
I feel ignored and unimportant.,negative
I feel supported and appreciated.,positive
I feel anxious and overwhelmed. I guess.,negative
I'm frustrated and tired of everything. right now.,negative
I'm frustrated and tired of everything. lately.,negative
I'm laughing and smiling a lot today. honestly.,positive
"Today was okay, nothing special. lately.",neutral
I'm sad and losing motivation. lately.,negative
"I'm feeling normal, not too good, not too bad. honestly.",neutral
I feel fantastic today! right now.,positive
I feel anxious and overwhelmed.,negative
"Today was okay, nothing special. these days.",neutral
I don't feel strongly about anything right now. lately.,neutral
I don't feel strongly about anything right now. to be honest.,neutral
"Today was okay, nothing special. at the moment.",neutral
I'm just going through the day. these days.,neutral
I feel kind of neutral. I guess.,neutral
This is one of the worst days recently. these days.,negative
Nothing is going right and it's draining. I guess.,negative
This is one of the worst days recently.,negative
"Today was okay, nothing special. to be honest.",neutral
I feel lonely and hopeless. these days.,negative
Life feels really difficult right now. right now.,negative
I'm laughing and smiling a lot today.,positive
I'm really happy with how things are going. to be honest.,positive
I feel supported and appreciated. lately.,positive
I feel fantastic today! to be honest.,positive
Everything is working out perfectly. lately.,positive
Life feels really difficult right now. I guess.,negative
"Today was okay, nothing special. honestly.",neutral
I feel terrible today. right now.,negative
I feel ignored and unimportant. I think.,negative
I'm just going through the day. lately.,neutral
I feel fantastic today! right now.,positive
Nothing major on my mind right now. these days.,neutral
It was an average day for me. I guess.,neutral
Things are stable and unchanged. I think.,neutral
I feel lonely and hopeless. honestly.,negative
I'm sad and losing motivation. right now.,negative
I feel kind of neutral. honestly.,neutral
I feel ignored and unimportant. right now.,negative
I'm laughing and smiling a lot today.,positive
I don't feel strongly about anything right now.,neutral
It was an average day for me. right now.,neutral
I'm frustrated and tired of everything. to be honest.,negative
I feel terrible today. right now.,negative
I'm frustrated and tired of everything. I think.,negative
I feel lonely and hopeless.,negative
I feel ignored and unimportant. honestly.,negative
Life is good and I'm grateful.,positive
Life is good and I'm grateful. to be honest.,positive
Everything feels heavy and stressful. lately.,negative
It was an average day for me. I guess.,neutral
I'm really happy with how things are going. these days.,positive
I'm excited and full of energy. I guess.,positive
I'm really happy with how things are going.,positive
Nothing is going right and it's draining. lately.,negative
It was an average day for me. I guess.,neutral
Things are stable and unchanged. I guess.,neutral
I feel fantastic today! I guess.,positive
It's just a regular day. I guess.,neutral
Nothing much happened today. to be honest.,neutral
This is the best day I've had in a long time. I guess.,positive
This is one of the worst days recently. to be honest.,negative
It's just a regular day. these days.,neutral
Nothing major on my mind right now. these days.,neutral
I feel anxious and overwhelmed. I guess.,negative
I'm just going through the day. these days.,neutral
"Today was okay, nothing special. right now.",neutral
I'm laughing and smiling a lot today. lately.,positive
I'm frustrated and tired of everything. I guess.,negative
I don't feel strongly about anything right now. at the moment.,neutral
I feel confident and motivated. right now.,positive
This is one of the worst days recently. I think.,negative
Nothing much happened today. these days.,neutral
This is the best day I've had in a long time. at the moment.,positive
This is the best day I've had in a long time. these days.,positive
I'm just going through the day. to be honest.,neutral
Life feels really difficult right now. I think.,negative
I feel terrible today. I guess.,negative
I feel supported and appreciated. lately.,positive
I'm just going through the day. these days.,neutral
I'm sad and losing motivation. right now.,negative
I feel lonely and hopeless. honestly.,negative
I'm sad and losing motivation. I guess.,negative
"I'm feeling normal, not too good, not too bad. honestly.",neutral
I'm excited and full of energy. today.,positive
This is one of the worst days recently. honestly.,negative
I'm really happy with how things are going. to be honest.,positive
Life is good and I'm grateful. I guess.,positive
It's just a regular day. lately.,neutral
I'm really happy with how things are going. I think.,positive
I'm sad and losing motivation. I guess.,negative
I'm really happy with how things are going. I guess.,positive
I feel ignored and unimportant. lately.,negative
Nothing much happened today. I guess.,neutral
Everything is working out perfectly. I think.,positive
Things are stable and unchanged. to be honest.,neutral
Everything is working out perfectly. at the moment.,positive
I'm frustrated and tired of everything. honestly.,negative
Everything is working out perfectly. at the moment.,positive
I'm just going through the day. honestly.,neutral
This is the best day I've had in a long time. at the moment.,positive
Nothing much happened today. today.,neutral
I'm excited and full of energy.,positive
I feel anxious and overwhelmed. I think.,negative
I'm just going through the day.,neutral
Life feels really difficult right now. I think.,negative
Things are stable and unchanged. these days.,neutral
I'm excited and full of energy.,positive
I'm frustrated and tired of everything. at the moment.,negative
"Today was okay, nothing special. lately.",neutral
I feel fantastic today! I guess.,positive
It was an average day for me. to be honest.,neutral
I'm really happy with how things are going. right now.,positive
This is the best day I've had in a long time. honestly.,positive
I'm excited and full of energy. these days.,positive
I'm sad and losing motivation. to be honest.,negative
Things are stable and unchanged. lately.,neutral
I feel kind of neutral. lately.,neutral
I'm laughing and smiling a lot today. to be honest.,positive
I'm sad and losing motivation. honestly.,negative
I feel confident and motivated. lately.,positive
I feel lonely and hopeless. at the moment.,negative
I feel lonely and hopeless. these days.,negative
I don't feel strongly about anything right now. these days.,neutral
I feel supported and appreciated.,positive
I feel lonely and hopeless. I guess.,negative
"Today was okay, nothing special.",neutral
I feel supported and appreciated. honestly.,positive
I feel kind of neutral. right now.,neutral
Nothing is going right and it's draining.,negative
This is one of the worst days recently. to be honest.,negative
I feel lonely and hopeless. I guess.,negative
I feel kind of neutral. today.,neutral
Things are stable and unchanged. I think.,neutral
It's just a regular day. these days.,neutral
It's just a regular day. I think.,neutral
I feel lonely and hopeless. to be honest.,negative
Life feels really difficult right now. these days.,negative
Nothing much happened today. I guess.,neutral
It was an average day for me. right now.,neutral
Life feels really difficult right now. at the moment.,negative
Nothing much happened today. I think.,neutral
Nothing major on my mind right now. at the moment.,neutral
I'm excited and full of energy. lately.,positive
Nothing much happened today. at the moment.,neutral
"Today was okay, nothing special. right now.",neutral
Nothing is going right and it's draining. to be honest.,negative
"I'm feeling normal, not too good, not too bad. right now.",neutral
I'm really happy with how things are going. to be honest.,positive
I feel supported and appreciated. right now.,positive
I feel supported and appreciated. today.,positive
I'm just going through the day. I guess.,neutral
Life is good and I'm grateful. to be honest.,positive
I'm just going through the day. I guess.,neutral
Nothing much happened today. I think.,neutral
I feel confident and motivated. I think.,positive
I feel supported and appreciated. I guess.,positive
I'm excited and full of energy. I guess.,positive
This is the best day I've had in a long time. to be honest.,positive
Nothing major on my mind right now.,neutral
Nothing major on my mind right now. I guess.,neutral
I'm just going through the day. these days.,neutral
I feel anxious and overwhelmed. lately.,negative
I'm frustrated and tired of everything. to be honest.,negative
I'm laughing and smiling a lot today. today.,positive
I feel supported and appreciated. lately.,positive
"I'm feeling normal, not too good, not too bad. lately.",neutral
Nothing is going right and it's draining. honestly.,negative
I'm really happy with how things are going. at the moment.,positive
Everything feels heavy and stressful. I think.,negative
I'm laughing and smiling a lot today. at the moment.,positive
Life is good and I'm grateful. I guess.,positive
It's just a regular day. these days.,neutral
I feel kind of neutral. honestly.,neutral
This is the best day I've had in a long time. honestly.,positive
I'm laughing and smiling a lot today. lately.,positive
I feel terrible today. at the moment.,negative
"Today was okay, nothing special. these days.",neutral
This is the best day I've had in a long time. today.,positive
"I'm feeling normal, not too good, not too bad. today.",neutral
This is one of the worst days recently. I guess.,negative
"I'm feeling normal, not too good, not too bad. these days.",neutral
I'm really happy with how things are going. honestly.,positive
This is one of the worst days recently. to be honest.,negative
"Today was okay, nothing special.",neutral
I feel fantastic today! these days.,positive
Things are improving for me. I think.,positive
Nothing major on my mind right now. to be honest.,neutral
It was an average day for me. I think.,neutral
Things are stable and unchanged. I guess.,neutral
I feel fantastic today! right now.,positive
Nothing major on my mind right now. right now.,neutral
This is one of the worst days recently. at the moment.,negative
It was an average day for me. to be honest.,neutral
I feel confident and motivated. to be honest.,positive
Things are stable and unchanged. honestly.,neutral
I don't feel strongly about anything right now. to be honest.,neutral
"Today was okay, nothing special. at the moment.",neutral
I feel fantastic today! at the moment.,positive
Things are stable and unchanged. today.,neutral
Everything is working out perfectly. at the moment.,positive
Life is good and I'm grateful. to be honest.,positive
I'm just going through the day. right now.,neutral
This is one of the worst days recently. right now.,negative
Things are improving for me. at the moment.,positive
Life feels really difficult right now. to be honest.,negative
I'm laughing and smiling a lot today. to be honest.,positive
It was an average day for me. at the moment.,neutral
Nothing is going right and it's draining. I think.,negative
"I'm feeling normal, not too good, not too bad. at the moment.",neutral
It's just a regular day. at the moment.,neutral
Nothing much happened today. to be honest.,neutral
I'm excited and full of energy. right now.,positive
I feel terrible today. I guess.,negative
Things are stable and unchanged. right now.,neutral
I feel supported and appreciated. at the moment.,positive
I'm frustrated and tired of everything. these days.,negative
I feel confident and motivated. honestly.,positive
Nothing is going right and it's draining. I guess.,negative
I feel anxious and overwhelmed.,negative
This is one of the worst days recently. honestly.,negative
Nothing much happened today. right now.,neutral
Nothing is going right and it's draining.,negative
I feel supported and appreciated. I think.,positive
"Today was okay, nothing special. I guess.",neutral
Life is good and I'm grateful. these days.,positive
Everything feels heavy and stressful. honestly.,negative
I'm really happy with how things are going. I guess.,positive
I feel confident and motivated.,positive
I'm frustrated and tired of everything. to be honest.,negative
I feel ignored and unimportant. lately.,negative
I feel lonely and hopeless. to be honest.,negative
I feel anxious and overwhelmed. today.,negative
I feel fantastic today! I think.,positive
"Today was okay, nothing special. at the moment.",neutral
Everything is working out perfectly. today.,positive
Things are improving for me. lately.,positive
"I'm feeling normal, not too good, not too bad. these days.",neutral
I feel ignored and unimportant. right now.,negative
I don't feel strongly about anything right now. to be honest.,neutral
I'm sad and losing motivation. I think.,negative
This is the best day I've had in a long time. today.,positive
I feel ignored and unimportant.,negative
It was an average day for me. I think.,neutral
I'm laughing and smiling a lot today. honestly.,positive
Nothing is going right and it's draining. to be honest.,negative
I'm excited and full of energy. these days.,positive
Everything feels heavy and stressful. at the moment.,negative
I don't feel strongly about anything right now. lately.,neutral
Nothing is going right and it's draining. I think.,negative
Life is good and I'm grateful. these days.,positive
I'm laughing and smiling a lot today. these days.,positive
I'm frustrated and tired of everything.,negative
"Today was okay, nothing special. honestly.",neutral
I feel anxious and overwhelmed. to be honest.,negative
I feel terrible today. I guess.,negative
Things are stable and unchanged.,neutral
"Today was okay, nothing special. I think.",neutral
I'm frustrated and tired of everything. I think.,negative
Things are stable and unchanged. to be honest.,neutral
This is one of the worst days recently.,negative
I'm sad and losing motivation. these days.,negative
I'm excited and full of energy. these days.,positive
"I'm feeling normal, not too good, not too bad. to be honest.",neutral
Everything feels heavy and stressful. I guess.,negative
It's just a regular day. honestly.,neutral
Nothing much happened today. at the moment.,neutral
I don't feel strongly about anything right now. at the moment.,neutral
I feel anxious and overwhelmed. right now.,negative
I feel lonely and hopeless. these days.,negative
Life is good and I'm grateful. honestly.,positive
"Today was okay, nothing special. these days.",neutral
I feel confident and motivated. at the moment.,positive
I feel lonely and hopeless. right now.,negative
I'm frustrated and tired of everything. today.,negative
I feel supported and appreciated.,positive
Things are improving for me. right now.,positive
I feel lonely and hopeless. today.,negative
I'm just going through the day. to be honest.,neutral
Life is good and I'm grateful. today.,positive
Everything is working out perfectly. to be honest.,positive
I feel confident and motivated. today.,positive
Life is good and I'm grateful. at the moment.,positive
I'm laughing and smiling a lot today. I think.,positive
Life feels really difficult right now.,negative
I'm really happy with how things are going. honestly.,positive
"I'm feeling normal, not too good, not too bad. honestly.",neutral
"I'm feeling normal, not too good, not too bad. honestly.",neutral
Life feels really difficult right now. lately.,negative
Everything is working out perfectly. at the moment.,positive
I feel anxious and overwhelmed. to be honest.,negative
I feel fantastic today! lately.,positive
Everything is working out perfectly. honestly.,positive
I feel ignored and unimportant.,negative
Things are stable and unchanged. honestly.,neutral
Everything is working out perfectly. at the moment.,positive
Life is good and I'm grateful. right now.,positive
"I'm feeling normal, not too good, not too bad.",neutral
I feel ignored and unimportant.,negative
Nothing major on my mind right now. honestly.,neutral
I don't feel strongly about anything right now. today.,neutral
I'm laughing and smiling a lot today.,positive
I feel terrible today. today.,negative
I feel fantastic today! I guess.,positive
Life is good and I'm grateful. today.,positive
It's just a regular day. these days.,neutral
Nothing is going right and it's draining. I think.,negative
I feel ignored and unimportant. to be honest.,negative
I'm frustrated and tired of everything. I think.,negative
Things are stable and unchanged. I guess.,neutral
I don't feel strongly about anything right now. these days.,neutral
I feel ignored and unimportant. today.,negative
I'm just going through the day. lately.,neutral
Life is good and I'm grateful. lately.,positive
I'm frustrated and tired of everything. I think.,negative
Life is good and I'm grateful. I guess.,positive
Nothing major on my mind right now. lately.,neutral
Everything feels heavy and stressful. at the moment.,negative
I'm laughing and smiling a lot today. honestly.,positive
I feel fantastic today! right now.,positive
Life feels really difficult right now. right now.,negative
I feel kind of neutral. honestly.,neutral
I don't feel strongly about anything right now. today.,neutral
This is the best day I've had in a long time.,positive
I'm just going through the day.,neutral
Life is good and I'm grateful. honestly.,positive
I'm really happy with how things are going. I guess.,positive
This is one of the worst days recently. at the moment.,negative
Things are stable and unchanged.,neutral
Things are improving for me. I guess.,positive
I feel supported and appreciated. I think.,positive
I feel kind of neutral. at the moment.,neutral
I'm really happy with how things are going. I think.,positive
Things are stable and unchanged. these days.,neutral
I'm just going through the day. I think.,neutral
I'm excited and full of energy. I think.,positive
I'm sad and losing motivation. to be honest.,negative
I'm just going through the day. I think.,neutral
Everything is working out perfectly. I think.,positive
I feel lonely and hopeless. today.,negative
I feel supported and appreciated. at the moment.,positive
I feel terrible today. honestly.,negative
I don't feel strongly about anything right now. honestly.,neutral
I feel fantastic today! these days.,positive
Everything feels heavy and stressful. lately.,negative
Everything feels heavy and stressful. honestly.,negative
I feel confident and motivated. at the moment.,positive
Life is good and I'm grateful. I guess.,positive
I'm excited and full of energy. at the moment.,positive
Things are improving for me. I guess.,positive
Life is good and I'm grateful.,positive
This is the best day I've had in a long time. lately.,positive
I'm excited and full of energy. lately.,positive
Things are stable and unchanged. to be honest.,neutral
Things are improving for me. I guess.,positive
I'm just going through the day. these days.,neutral
I'm just going through the day. honestly.,neutral
"Today was okay, nothing special. right now.",neutral
It was an average day for me.,neutral
I feel fantastic today! today.,positive
This is one of the worst days recently. to be honest.,negative
I'm sad and losing motivation. to be honest.,negative
"I'm feeling normal, not too good, not too bad.",neutral
I feel lonely and hopeless. I guess.,negative
I'm frustrated and tired of everything. right now.,negative
I feel terrible today.,negative
I feel lonely and hopeless. to be honest.,negative
Nothing is going right and it's draining. right now.,negative
I'm excited and full of energy. right now.,positive
I feel ignored and unimportant. I guess.,negative
I'm excited and full of energy. at the moment.,positive
Nothing much happened today. these days.,neutral
Nothing is going right and it's draining. at the moment.,negative
I'm sad and losing motivation. to be honest.,negative
It was an average day for me. lately.,neutral
"I'm feeling normal, not too good, not too bad. I guess.",neutral
I feel ignored and unimportant. today.,negative
I feel supported and appreciated. I guess.,positive
This is one of the worst days recently. honestly.,negative
I'm laughing and smiling a lot today. lately.,positive
I feel anxious and overwhelmed. honestly.,negative
It's just a regular day. honestly.,neutral
This is the best day I've had in a long time. today.,positive
Things are improving for me. I guess.,positive
Nothing major on my mind right now. right now.,neutral
Life feels really difficult right now. lately.,negative
Life is good and I'm grateful. these days.,positive
This is one of the worst days recently. honestly.,negative
I'm frustrated and tired of everything. honestly.,negative
I feel anxious and overwhelmed. right now.,negative
This is the best day I've had in a long time. lately.,positive
Life is good and I'm grateful. lately.,positive
It's just a regular day. at the moment.,neutral
I'm laughing and smiling a lot today. I guess.,positive
This is the best day I've had in a long time. to be honest.,positive
I don't feel strongly about anything right now. these days.,neutral
Things are improving for me. right now.,positive
I don't feel strongly about anything right now. to be honest.,neutral
I'm just going through the day. I think.,neutral
"Today was okay, nothing special. today.",neutral
"Today was okay, nothing special.",neutral
Things are stable and unchanged. these days.,neutral
Nothing much happened today. I guess.,neutral
I'm frustrated and tired of everything. these days.,negative
Everything is working out perfectly.,positive
I'm laughing and smiling a lot today. right now.,positive
I feel lonely and hopeless. honestly.,negative
I feel supported and appreciated. right now.,positive
"I'm feeling normal, not too good, not too bad. today.",neutral
Life feels really difficult right now. today.,negative
I'm really happy with how things are going. I think.,positive
"Today was okay, nothing special. at the moment.",neutral
I feel confident and motivated.,positive
Nothing major on my mind right now.,neutral
I don't feel strongly about anything right now. to be honest.,neutral
It was an average day for me. lately.,neutral
Everything feels heavy and stressful. these days.,negative
It's just a regular day. to be honest.,neutral
I feel ignored and unimportant.,negative
Everything feels heavy and stressful. lately.,negative
I'm laughing and smiling a lot today. right now.,positive
Everything is working out perfectly. to be honest.,positive
Things are stable and unchanged. lately.,neutral
I'm excited and full of energy. these days.,positive
Life feels really difficult right now. I think.,negative
I don't feel strongly about anything right now. today.,neutral
I feel supported and appreciated. to be honest.,positive
I feel fantastic today! right now.,positive
I'm just going through the day. today.,neutral
I'm really happy with how things are going. these days.,positive
It's just a regular day. these days.,neutral
Things are improving for me. right now.,positive
Life feels really difficult right now.,negative
This is the best day I've had in a long time. honestly.,positive
Everything is working out perfectly. right now.,positive
Life feels really difficult right now. these days.,negative
I feel lonely and hopeless. I guess.,negative
Everything feels heavy and stressful. lately.,negative
I'm laughing and smiling a lot today. to be honest.,positive
I feel ignored and unimportant. at the moment.,negative
It was an average day for me. at the moment.,neutral
This is one of the worst days recently. today.,negative
This is one of the worst days recently. to be honest.,negative
I feel fantastic today! lately.,positive
I feel ignored and unimportant.,negative
Nothing is going right and it's draining. I guess.,negative
I'm excited and full of energy. I think.,positive
I feel lonely and hopeless. right now.,negative
Life is good and I'm grateful. I guess.,positive
I feel kind of neutral. honestly.,neutral
I feel ignored and unimportant. to be honest.,negative
I feel kind of neutral. to be honest.,neutral
I feel anxious and overwhelmed. right now.,negative
Nothing much happened today.,neutral
I feel fantastic today! right now.,positive
I feel anxious and overwhelmed. these days.,negative
Nothing is going right and it's draining. at the moment.,negative
Things are improving for me. I guess.,positive
I feel lonely and hopeless. I guess.,negative
"Today was okay, nothing special. I think.",neutral
Things are improving for me. at the moment.,positive
I'm really happy with how things are going. honestly.,positive
Everything is working out perfectly. right now.,positive
I don't feel strongly about anything right now.,neutral
Everything feels heavy and stressful. I guess.,negative
Everything feels heavy and stressful. right now.,negative
Life is good and I'm grateful. right now.,positive
I feel anxious and overwhelmed.,negative
I'm excited and full of energy. I think.,positive
Nothing much happened today. at the moment.,neutral
Life is good and I'm grateful. I think.,positive
Everything is working out perfectly. I guess.,positive
I'm excited and full of energy. to be honest.,positive
"Today was okay, nothing special.",neutral
It was an average day for me.,neutral
"I'm feeling normal, not too good, not too bad.",neutral
I'm sad and losing motivation. these days.,negative
I feel supported and appreciated. I guess.,positive
Everything feels heavy and stressful. I guess.,negative
I feel terrible today. I think.,negative
I feel ignored and unimportant. at the moment.,negative
"I'm feeling normal, not too good, not too bad. today.",neutral
I'm excited and full of energy. right now.,positive
I feel anxious and overwhelmed. these days.,negative
I'm laughing and smiling a lot today. lately.,positive
Everything feels heavy and stressful. to be honest.,negative
"Today was okay, nothing special. at the moment.",neutral
I feel confident and motivated. today.,positive
I feel lonely and hopeless. I guess.,negative
I'm laughing and smiling a lot today. today.,positive
I feel fantastic today!,positive
Everything feels heavy and stressful. lately.,negative
I feel anxious and overwhelmed. today.,negative
This is one of the worst days recently. I think.,negative
I feel supported and appreciated. these days.,positive
I feel kind of neutral. lately.,neutral
Things are stable and unchanged. at the moment.,neutral
I feel kind of neutral. I think.,neutral
Everything is working out perfectly. right now.,positive
I'm sad and losing motivation. today.,negative
"Today was okay, nothing special. today.",neutral
Nothing major on my mind right now. today.,neutral
I feel terrible today. I think.,negative
I feel anxious and overwhelmed. lately.,negative
I feel lonely and hopeless. honestly.,negative
This is one of the worst days recently. lately.,negative
It's just a regular day. to be honest.,neutral
I feel kind of neutral.,neutral
This is the best day I've had in a long time.,positive
I feel ignored and unimportant. I think.,negative
I'm frustrated and tired of everything. I think.,negative
I feel confident and motivated. today.,positive
I'm just going through the day. I guess.,neutral
It was an average day for me. lately.,neutral
Everything feels heavy and stressful. today.,negative
Everything is working out perfectly. I guess.,positive
I feel terrible today. lately.,negative
I'm really happy with how things are going. today.,positive
Life feels really difficult right now. I guess.,negative
I feel ignored and unimportant. these days.,negative
I feel lonely and hopeless. honestly.,negative
It's just a regular day. honestly.,neutral
Nothing is going right and it's draining. I think.,negative
Nothing much happened today. right now.,neutral
Nothing is going right and it's draining. at the moment.,negative
"Today was okay, nothing special. today.",neutral
Things are stable and unchanged. lately.,neutral
I'm frustrated and tired of everything. lately.,negative
Things are improving for me. I guess.,positive
I'm excited and full of energy. I guess.,positive
Things are stable and unchanged. right now.,neutral
"Today was okay, nothing special.",neutral
I feel supported and appreciated. these days.,positive
I'm excited and full of energy. I think.,positive
I don't feel strongly about anything right now. to be honest.,neutral
Life is good and I'm grateful. I think.,positive
I feel supported and appreciated. I guess.,positive
Everything is working out perfectly. honestly.,positive
Nothing much happened today. I think.,neutral
I'm sad and losing motivation. right now.,negative
I feel kind of neutral. I think.,neutral
Nothing major on my mind right now. honestly.,neutral
It was an average day for me. I think.,neutral
This is the best day I've had in a long time. right now.,positive
I'm excited and full of energy.,positive
It's just a regular day. today.,neutral
I'm really happy with how things are going. to be honest.,positive
This is the best day I've had in a long time. at the moment.,positive
I feel confident and motivated. honestly.,positive
Everything feels heavy and stressful. these days.,negative
I feel ignored and unimportant. I think.,negative
Everything is working out perfectly. I think.,positive
It's just a regular day. to be honest.,neutral
I feel ignored and unimportant. at the moment.,negative
I'm excited and full of energy. I guess.,positive
I feel supported and appreciated. right now.,positive
I feel kind of neutral. lately.,neutral
I'm laughing and smiling a lot today. lately.,positive
I'm sad and losing motivation. to be honest.,negative
Everything is working out perfectly. to be honest.,positive
I'm really happy with how things are going. at the moment.,positive
I feel terrible today. right now.,negative
Things are stable and unchanged. lately.,neutral
Life feels really difficult right now. at the moment.,negative
I feel confident and motivated.,positive
Things are stable and unchanged. right now.,neutral
Nothing much happened today. to be honest.,neutral
I'm sad and losing motivation. I guess.,negative
I'm laughing and smiling a lot today. today.,positive
It was an average day for me. these days.,neutral
Things are improving for me. right now.,positive
"I'm feeling normal, not too good, not too bad. at the moment.",neutral
Nothing is going right and it's draining. right now.,negative
I'm laughing and smiling a lot today. today.,positive
I'm excited and full of energy.,positive
Life feels really difficult right now. lately.,negative
I feel fantastic today! honestly.,positive
Life is good and I'm grateful. today.,positive
It's just a regular day. lately.,neutral
"Today was okay, nothing special. today.",neutral
Life feels really difficult right now. to be honest.,negative
"I'm feeling normal, not too good, not too bad. right now.",neutral
Nothing major on my mind right now. I think.,neutral
I feel lonely and hopeless. I guess.,negative
It was an average day for me. lately.,neutral
Things are stable and unchanged. today.,neutral
Life is good and I'm grateful. today.,positive
Everything is working out perfectly.,positive
Nothing much happened today. honestly.,neutral
I feel fantastic today! at the moment.,positive
I feel lonely and hopeless. lately.,negative
I'm frustrated and tired of everything. honestly.,negative
I'm excited and full of energy. honestly.,positive
I'm excited and full of energy. today.,positive
Nothing is going right and it's draining. honestly.,negative
"I'm feeling normal, not too good, not too bad. right now.",neutral
Things are stable and unchanged. to be honest.,neutral
Life feels really difficult right now. I think.,negative
I feel fantastic today! right now.,positive
Life is good and I'm grateful. I guess.,positive
Things are improving for me. these days.,positive
I'm frustrated and tired of everything.,negative
Things are stable and unchanged. to be honest.,neutral
I'm frustrated and tired of everything. these days.,negative
Things are improving for me. lately.,positive
Nothing much happened today. I guess.,neutral
Things are stable and unchanged. lately.,neutral
Nothing is going right and it's draining. I think.,negative
I feel ignored and unimportant. today.,negative
"Today was okay, nothing special. I think.",neutral
Nothing is going right and it's draining. I think.,negative
I'm laughing and smiling a lot today. honestly.,positive
Everything feels heavy and stressful. lately.,negative
I feel lonely and hopeless. I think.,negative
Nothing much happened today. lately.,neutral
This is one of the worst days recently. honestly.,negative
Everything is working out perfectly. today.,positive
Everything is working out perfectly. lately.,positive
I feel fantastic today! honestly.,positive
I'm sad and losing motivation. right now.,negative
Nothing is going right and it's draining.,negative
It's just a regular day. lately.,neutral
I feel supported and appreciated. right now.,positive
